post_id,published_at,series,subscribers_at_publish,views_24h,views_72h,views_7d,views_30d,reactions_72h,comments_72h,forwards_72h,new_subscribers_7d,boosty_clicks_7d,qualified_feedback_7d,score,class,decision,notes
POST-001,,START,,,,,,,,,,,,,,,
POST-002,,START,,,,,,,,,,,,,,,
